zone,row,start,end
Etupermanto vasen (2. krs),B3,61,75
Etupermanto oikea (2. krs),A3,76,90
Etupermanto vasen (2. krs),B4,91,105
Etupermanto oikea (2. krs),A4,106,120
Etupermanto vasen (2. krs),B5,121,135
Etupermanto oikea (2. krs),A5,136,150
Etupermanto vasen (2. krs),B6,151,165
Etupermanto oikea (2. krs),A6,166,180
Etupermanto vasen (2. krs),B7,181,195
Etupermanto oikea (2. krs),A7,196,210
Etupermanto vasen (2. krs),B8,211,225
Etupermanto oikea (2. krs),A8,226,240
Etupermanto vasen (2. krs),B9,241,255
Etupermanto oikea (2. krs),A9,256,270
Etupermanto vasen (2. krs),B10,271,285
Etupermanto oikea (2. krs),A10,286,300
Etupermanto vasen (2. krs),B11,301,315
Etupermanto oikea (2. krs),A11,316,330
Etupermanto vasen (2. krs),B12,331,345
Etupermanto oikea (2. krs),A12,346,360
Etupermanto vasen (2. krs),B13,361,375
Etupermanto oikea (2. krs),A13,376,390
Etupermanto vasen (2. krs),B14,391,405
Etupermanto oikea (2. krs),A14,406,420
Etupermanto vasen (2. krs),B15,421,435
Etupermanto oikea (2. krs),A15,436,450
Etupermanto vasen (2. krs),B16,451,465
Etupermanto oikea (2. krs),A16,466,480
Etupermanto vasen (2. krs),B17,481,495
Etupermanto oikea (2. krs),A17,496,510
Etupermanto vasen (2. krs),B18,511,525
Etupermanto oikea (2. krs),A18,526,540
Etupermanto vasen (2. krs),B19,541,555
Etupermanto oikea (2. krs),A19,556,570
Etupermanto vasen (2. krs),B20,571,585
Etupermanto oikea (2. krs),A20,586,600
Etupermanto vasen (2. krs),B21,601,615
Etupermanto oikea (2. krs),A21,616,630
Etupermanto vasen (2. krs),B22,631,645
Etupermanto oikea (2. krs),A22,646,660
Etupermanto vasen (2. krs),B23,661,675
Etupermanto oikea (2. krs),A23,676,690
Etupermanto vasen (2. krs),B24,691,702
Etupermanto oikea (2. krs),A24,709,720
Etupermanto vasen (2. krs),B25,721,731
Etupermanto oikea (2. krs),A25,740,750
Alaparvi vasen (2. krs),C1,751,764
INVA Alaparvi oikea (1. krs),D1,804,814
Sivuparvi vasen (2. krs),C2,765,800
Sivuparvi oikea (2. krs),D2,815,846
INVA Sivuparvi oikea (2. krs),D2,847,848
