zone,row,start,end
Etupermanto vasen (1. krs),B2,59,65
Etupermanto vasen (1. krs),A3,85,94
Etupermanto vasen (1. krs),B3,95,102
Etupermanto vasen (1. krs),A4,123,133
Etupermanto vasen (1. krs),B4,134,142
Etupermanto vasen (1. krs),A5,164,174
Etupermanto vasen (1. krs),B5,175,183
Etupermanto vasen (1. krs),A6,205,216
Etupermanto vasen (1. krs),B6,217,225
Etupermanto vasen (1. krs),A7,248,259
Etupermanto vasen (1. krs),B7,260,268
Etupermanto vasen (1. krs),A8,291,303
Etupermanto vasen (2. krs),A9,328,341
Etupermanto vasen (2. krs),A10,356,369
Etupermanto vasen (2. krs),A11,384,396
Etupermanto vasen (2. krs),A12,410,422
Etupermanto vasen (2. krs),A13,436,447
Etupermanto vasen (2. krs),A14,460,471
Takapermanto vasen (2. krs),A16,11,21
Takapermanto vasen (2. krs),A17,35,47
Takapermanto vasen (2. krs),B18,90,104
Takapermanto vasen (2. krs),A18,77,89
Takapermanto vasen (2. krs),A19,133,146
Takapermanto vasen (2. krs),B19,147,160
Takapermanto vasen (2. krs),A20,189,202
Takapermanto vasen (2. krs),B20,203,215
Takapermanto vasen (2. krs),A21,243,257
Takapermanto vasen (2. krs),B21,258,269
Takapermanto vasen (2. krs),A22,296,311
Takapermanto vasen (2. krs),B22,312,322
Takapermanto vasen (2. krs),A23,349,364
Takapermanto vasen (2. krs),B23,365,374
Takapermanto vasen (2. krs),A24,402,417
Takapermanto vasen (2. krs),B24,418,427
Takapermanto vasen (2. krs),A25,454,470
Takapermanto vasen (2. krs),B25,471,479
Etupermanto oikea (1. krs),B2,32,38
Etupermanto oikea (1. krs),A3,74,84
Etupermanto oikea (1. krs),B3,66,73
Etupermanto oikea (1. krs),B4,103,111
Etupermanto oikea (1. krs),A4,112,122
Etupermanto oikea (1. krs),B5,143,151
Etupermanto oikea (1. krs),A5,152,163
Etupermanto oikea (1. krs),B6,184,192
Etupermanto oikea (1. krs),A6,193,204
Etupermanto oikea (1. krs),B7,226,234
Etupermanto oikea (1. krs),A7,235,247
Etupermanto oikea (1. krs),A8,278,290
Etupermanto oikea (1. krs),B8,269,276
Etupermanto oikea (2. krs),A9,313,327
Etupermanto oikea (2. krs),A10,342,355
Etupermanto oikea (2. krs),A11,370,383
Etupermanto oikea (2. krs),A12,397,409
Etupermanto oikea (2. krs),A13,423,435
Etupermanto oikea (2. krs),A14,448,459
Takapermanto oikea (2. krs),A16,1,10
Takapermanto oikea (2. krs),A17,22,34
Takapermanto oikea (2. krs),B18,48,62
Takapermanto oikea (2. krs),A18,63,76
Takapermanto oikea (2. krs),B19,105,118
Takapermanto oikea (2. krs),A19,119,132
Takapermanto oikea (2. krs),B20,161,173
Takapermanto oikea (2. krs),A20,174,188
Takapermanto oikea (2. krs),B21,216,227
Takapermanto oikea (2. krs),A21,228,242
Takapermanto oikea (2. krs),B22,270,280
Takapermanto oikea (2. krs),A22,281,295
Takapermanto oikea (2. krs),B23,323,332
Takapermanto oikea (2. krs),A23,333,348
Takapermanto oikea (2. krs),B24,375,384
Takapermanto oikea (2. krs),A24,385,401
Takapermanto oikea (2. krs),B25,428,436
Takapermanto oikea (2. krs),A25,437,453
Aitio A oikea (1. krs),B10,11,21
Aitio A oikea (1. krs),B11,22,32
Aitio A oikea (1. krs),B12,33,45
Aitio A oikea (1. krs),B13,47,60
Aitio A oikea (1. krs),B14,61,76
Aitio A oikea (1. krs),B15,77,91
Etuparveke vasen (3. krs),A8,61,69
Etuparveke vasen (3. krs),B8,70,79
Etuparveke vasen (3. krs),A9,96,104
Etuparveke vasen (3. krs),B9,105,114
Etuparveke vasen (3. krs),A10,141,150
Etuparveke vasen (3. krs),B10,151,167
Etuparveke vasen (3. krs),A11,193,202
Etuparveke vasen (3. krs),B11,203,217
Etuparveke vasen (3. krs),A12,242,251
Etuparveke vasen (3. krs),B12,252,264
Takaparveke vasen (3. krs),A13,20,29
Takaparveke vasen (3. krs),B13,30,38
Takaparveke vasen (3. krs),A14,59,69
Takaparveke vasen (3. krs),B14,70,79
Takaparveke vasen (3. krs),B15,107,111
Takaparveke vasen (3. krs),A16,129,138
Takaparveke vasen (3. krs),B16,139,144
Takaparveke vasen (3. krs),A17,166,176
Takaparveke vasen (3. krs),B17,177,186
Takaparveke vasen (3. krs),A18,208,217
Takaparveke vasen (3. krs),B18,218,227
Takaparveke vasen (3. krs),A19,248,258
Takaparveke vasen (3. krs),B19,259,267
Takaparveke vasen (3. krs),A20,286,296
Takaparveke vasen (3. krs),B20,297,304
Takaparveke vasen (3. krs),A21,316,326
Takaparveke vasen (3. krs),A22,338,347
Etuparveke oikea (3. krs),B1,1,4
Etuparveke oikea (3. krs),B2,5,9
Etuparveke oikea (3. krs),B3,10,16
Etuparveke oikea (3. krs),B4,17,24
Etuparveke oikea (3. krs),B5,25,30
Etuparveke oikea (3. krs),B6,31,37
Etuparveke oikea (3. krs),B7,38,44
Etuparveke oikea (3. krs),B8,45,51
Etuparveke oikea (3. krs),A8,52,60
Etuparveke oikea (3. krs),B9,80,86
Etuparveke oikea (3. krs),A9,87,95
Etuparveke oikea (3. krs),B10,115,131
Etuparveke oikea (3. krs),A10,132,140
Etuparveke oikea (3. krs),B11,168,182
Etuparveke oikea (3. krs),A11,183,192
Etuparveke oikea (3. krs),B12,218,230
Etuparveke oikea (3. krs),A12,231,241
Takaparveke oikea (3. krs),B13,1,9
Takaparveke oikea (3. krs),A13,10,19
Takaparveke oikea (3. krs),B14,39,48
Takaparveke oikea (3. krs),A14,49,58
Takaparveke oikea (3. krs),B15,80,84
Takaparveke oikea (3. krs),A15,85,95
Takaparveke oikea (3. krs),B16,112,117
Takaparveke oikea (3. krs),A16,118,128
Takaparveke oikea (3. krs),B17,146,154
Takaparveke oikea (3. krs),A17,155,165
Takaparveke oikea (3. krs),B18,187,196
Takaparveke oikea (3. krs),A18,197,207
Takaparveke oikea (3. krs),B19,228,236
Takaparveke oikea (3. krs),A19,237,247
Takaparveke oikea (3. krs),B20,268,275
Takaparveke oikea (3. krs),A20,276,285
Takaparveke oikea (3. krs),A21,305,315
Takaparveke oikea (3. krs),A22,327,337
