zone,row,start,end
Aitio 1 (vasen),0,651,659
Aitio 2 (oikea),0,660,668
Permanto,1,1,16
Permanto,2,17,44
Permanto,3,45,73
Permanto,4,74,102
Permanto,5,103,133
Permanto,6,134,166
Permanto,7,167,195
Permanto,8,196,220
Permanto,9,221,244
Permanto,10,245,266
Permanto,11,267,287
Permanto,12,288,307
Permanto,13,308,325
Permanto,14,326,343
Permanto,15,344,359
Permanto,16,360,371
Permanto,17,372,378
Permanto,18,379,382
Permanto,19,383,440
Permanto,20,441,496
Permanto,21,497,554
Permanto,22,555,609
Permanto,23,610,650
1. parvi,1,669,756
1. parvi,2,757,793
1. parvi,3,794,833
1. parvi,4,834,915
Urkuparvi,1,1101,1162
Urkuparvi,2,1163,1229
2. parvi,1,916,1000
2. parvi,2,1001,1041
2. parvi,3,1042,1062
2. parvi,4,1063,1083
2. parvi,5,1084,1100
