days_to_event,hitpoint2015,hitpoint2017
-196,2,0
-195,0,0
-194,2,0
-193,0,0
-192,0,0
-191,0,0
-190,0,0
-189,0,0
-188,0,0
-187,0,0
-186,0,0
-185,0,0
-184,1,0
-183,0,0
-182,0,0
-181,0,0
-180,0,0
-179,0,0
-178,0,0
-177,0,0
-176,0,0
-175,0,0
-174,0,0
-173,0,0
-172,0,0
-171,0,0
-170,0,0
-169,0,0
-168,0,0
-167,0,0
-166,0,0
-165,0,0
-164,2,0
-163,0,0
-162,0,0
-161,0,0
-160,0,0
-159,0,0
-158,0,0
-157,0,0
-156,0,0
-155,0,0
-154,0,0
-153,1,0
-152,0,0
-151,0,0
-150,0,0
-149,0,0
-148,0,0
-147,0,0
-146,2,0
-145,0,0
-144,6,0
-143,1,0
-142,2,0
-141,0,0
-140,0,0
-139,0,0
-138,0,0
-137,0,0
-136,0,0
-135,0,0
-134,0,0
-133,0,0
-132,0,0
-131,0,0
-130,0,0
-129,0,0
-128,0,0
-127,1,0
-126,0,0
-125,0,0
-124,0,2
-123,0,5
-122,0,1
-121,2,0
-120,0,0
-119,0,0
-118,2,0
-117,0,0
-116,4,2
-115,0,0
-114,0,0
-113,0,0
-112,1,0
-111,0,3
-110,0,0
-109,2,1
-108,0,0
-107,0,0
-106,0,0
-105,0,0
-104,2,0
-103,1,0
-102,1,0
-101,0,0
-100,0,0
-99,0,0
-98,0,0
-97,3,0
-96,0,3
-95,0,0
-94,1,0
-93,1,0
-92,1,0
-91,0,0
-90,0,0
-89,0,0
-88,0,0
-87,0,0
-86,0,1
-85,1,0
-84,1,0
-83,0,2
-82,3,0
-81,0,0
-80,0,0
-79,2,0
-78,1,2
-77,1,1
-76,3,0
-75,1,0
-74,3,0
-73,0,0
-72,1,0
-71,2,0
-70,1,0
-69,0,0
-68,0,0
-67,0,0
-66,0,0
-65,0,0
-64,0,0
-63,0,0
-62,2,1
-61,0,0
-60,2,0
-59,2,3
-58,0,0
-57,0,2
-56,0,0
-55,0,0
-54,0,0
-53,0,0
-52,2,0
-51,4,0
-50,0,0
-49,0,1
-48,0,0
-47,0,0
-46,1,5
-45,1,0
-44,1,0
-43,0,0
-42,0,1
-41,1,1
-40,0,1
-39,0,4
-38,1,0
-37,2,0
-36,2,0
-35,0,0
-34,2,0
-33,1,0
-32,1,1
-31,0,4
-30,0,5
-29,2,1
-28,1,3
-27,2,0
-26,0,3
-25,3,3
-24,0,0
-23,7,0
-22,2,0
-21,0,0
-20,1,0
-19,4,0
-18,2,0
-17,3,0
-16,2,0
-15,3,0
-14,0,0
-13,0,0
-12,6,0
-11,5,0
-10,3,0
-9,2,0
-8,7,0
-7,0,0
-6,3,0
-5,0,0
-4,9,0
-3,7,0
-2,9,0
-1,7,0
0,7,0
